20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       419010.79    419010.79         0.00       536.04982       544.76700      1036.28700      1048.57500     27635.52 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     419010.79    419010.79         0.00       536.04982       544.76700      1036.28700      1048.57500     27635.52 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      14.783        0.000
GET      73.215        5.000
GET     129.535       10.000
GET     184.319       15.000
GET     237.567       20.000
GET     282.623       25.000
GET     339.967       30.000
GET     378.879       35.000
GET     442.367       40.000
GET     477.183       45.000
GET     544.767       50.000
GET     561.151       52.500
GET     581.631       55.000
GET     618.495       57.500
GET     647.167       60.000
GET     667.647       62.500
GET     679.935       65.000
GET     716.799       67.500
GET     749.567       70.000
GET     774.143       72.500
GET     782.335       75.000
GET     798.719       76.250
GET     819.199       77.500
GET     835.583       78.750
GET     851.967       80.000
GET     864.255       81.250
GET     872.447       82.500
GET     880.639       83.750
GET     884.735       85.000
GET     897.023       86.250
GET     917.503       87.500
GET     925.695       88.125
GET     933.887       88.750
GET     942.079       89.375
GET     950.271       90.000
GET     958.463       90.625
GET     966.655       91.250
GET     970.751       91.875
GET     974.847       92.500
GET     978.943       93.125
GET     983.039       93.750
GET     987.135       94.062
GET     987.135       94.375
GET     987.135       94.688
GET     987.135       95.000
GET     991.231       95.312
GET     991.231       95.625
GET     995.327       95.938
GET     999.423       96.250
GET    1003.519       96.562
GET    1007.615       96.875
GET    1007.615       97.031
GET    1011.711       97.188
GET    1015.807       97.344
GET    1015.807       97.500
GET    1019.903       97.656
GET    1019.903       97.812
GET    1023.999       97.969
GET    1023.999       98.125
GET    1028.095       98.281
GET    1028.095       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1032.191       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1048.575       99.668
GET    1048.575      100.000
---
WAIT      0.000      100.000
