20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       412490.43    412490.43         0.00       504.68968       503.80700      1040.38300      1048.57500     33464.10 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     412490.43    412490.43         0.00       504.68968       503.80700      1040.38300      1048.57500     33464.10 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.167        0.000
GET      64.255        5.000
GET     103.935       10.000
GET     135.167       15.000
GET     162.815       20.000
GET     204.799       25.000
GET     264.191       30.000
GET     319.487       35.000
GET     380.927       40.000
GET     444.415       45.000
GET     503.807       50.000
GET     532.479       52.500
GET     561.151       55.000
GET     585.727       57.500
GET     614.399       60.000
GET     643.071       62.500
GET     671.743       65.000
GET     696.319       67.500
GET     724.991       70.000
GET     753.663       72.500
GET     778.239       75.000
GET     794.623       76.250
GET     806.911       77.500
GET     819.199       78.750
GET     831.487       80.000
GET     847.871       81.250
GET     860.159       82.500
GET     872.447       83.750
GET     884.735       85.000
GET     901.119       86.250
GET     913.407       87.500
GET     921.599       88.125
GET     925.695       88.750
GET     933.887       89.375
GET     942.079       90.000
GET     946.175       90.625
GET     954.367       91.250
GET     962.559       91.875
GET     966.655       92.500
GET     974.847       93.125
GET     983.039       93.750
GET     983.039       94.062
GET     987.135       94.375
GET     991.231       94.688
GET     995.327       95.000
GET     999.423       95.312
GET    1003.519       95.625
GET    1007.615       95.938
GET    1007.615       96.250
GET    1011.711       96.562
GET    1015.807       96.875
GET    1019.903       97.031
GET    1019.903       97.188
GET    1019.903       97.344
GET    1023.999       97.500
GET    1023.999       97.656
GET    1028.095       97.812
GET    1028.095       97.969
GET    1028.095       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1048.575       99.668
GET    1048.575      100.000
---
WAIT      0.000      100.000
