20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       646478.88         0.00    646478.88       558.81431       561.15100      1040.38300      1048.57500     54001.87 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     646478.88         0.00    646478.88       558.81431       561.15100      1040.38300      1048.57500     54001.87 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      35.327        0.000
GET     104.447        5.000
GET     174.079       10.000
GET     225.279       15.000
GET     274.431       20.000
GET     319.487       25.000
GET     366.591       30.000
GET     415.743       35.000
GET     468.991       40.000
GET     514.047       45.000
GET     561.151       50.000
GET     581.631       52.500
GET     606.207       55.000
GET     630.783       57.500
GET     655.359       60.000
GET     679.935       62.500
GET     708.607       65.000
GET     733.183       67.500
GET     757.759       70.000
GET     782.335       72.500
GET     802.815       75.000
GET     815.103       76.250
GET     827.391       77.500
GET     839.679       78.750
GET     851.967       80.000
GET     864.255       81.250
GET     872.447       82.500
GET     884.735       83.750
GET     897.023       85.000
GET     913.407       86.250
GET     925.695       87.500
GET     929.791       88.125
GET     937.983       88.750
GET     942.079       89.375
GET     950.271       90.000
GET     954.367       90.625
GET     962.559       91.250
GET     970.751       91.875
GET     978.943       92.500
GET     987.135       93.125
GET     991.231       93.750
GET     995.327       94.062
GET     999.423       94.375
GET    1003.519       94.688
GET    1003.519       95.000
GET    1007.615       95.312
GET    1011.711       95.625
GET    1011.711       95.938
GET    1015.807       96.250
GET    1019.903       96.562
GET    1019.903       96.875
GET    1023.999       97.031
GET    1023.999       97.188
GET    1023.999       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1048.575       99.609
GET    1048.575      100.000
---
WAIT      0.000      100.000
