20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       402785.07    402785.07         0.00       489.82290       481.27900      1040.38300      1048.57500     32676.77 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     402785.07    402785.07         0.00       489.82290       481.27900      1040.38300      1048.57500     32676.77 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.007        0.000
GET      50.431        5.000
GET      77.311       10.000
GET     107.007       15.000
GET     142.335       20.000
GET     184.319       25.000
GET     232.447       30.000
GET     290.815       35.000
GET     348.159       40.000
GET     411.647       45.000
GET     481.279       50.000
GET     514.047       52.500
GET     548.863       55.000
GET     577.535       57.500
GET     606.207       60.000
GET     634.879       62.500
GET     663.551       65.000
GET     692.223       67.500
GET     720.895       70.000
GET     749.567       72.500
GET     778.239       75.000
GET     790.527       76.250
GET     806.911       77.500
GET     819.199       78.750
GET     831.487       80.000
GET     843.775       81.250
GET     856.063       82.500
GET     872.447       83.750
GET     884.735       85.000
GET     897.023       86.250
GET     909.311       87.500
GET     917.503       88.125
GET     925.695       88.750
GET     929.791       89.375
GET     937.983       90.000
GET     946.175       90.625
GET     954.367       91.250
GET     958.463       91.875
GET     966.655       92.500
GET     970.751       93.125
GET     978.943       93.750
GET     983.039       94.062
GET     987.135       94.375
GET     991.231       94.688
GET     995.327       95.000
GET     995.327       95.312
GET     999.423       95.625
GET    1003.519       95.938
GET    1007.615       96.250
GET    1011.711       96.562
GET    1015.807       96.875
GET    1015.807       97.031
GET    1019.903       97.188
GET    1019.903       97.344
GET    1019.903       97.500
GET    1023.999       97.656
GET    1023.999       97.812
GET    1028.095       97.969
GET    1028.095       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1048.575       99.648
GET    1048.575      100.000
---
WAIT      0.000      100.000
