20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       415557.30    415557.30         0.00       524.48993       540.67100      1040.38300      1048.57500     33712.96 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     415557.30    415557.30         0.00       524.48993       540.67100      1040.38300      1048.57500     33712.96 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       6.719        0.000
GET      72.191        5.000
GET      93.183       10.000
GET     134.143       15.000
GET     189.439       20.000
GET     239.615       25.000
GET     292.863       30.000
GET     348.159       35.000
GET     415.743       40.000
GET     481.279       45.000
GET     540.671       50.000
GET     569.343       52.500
GET     593.919       55.000
GET     618.495       57.500
GET     643.071       60.000
GET     671.743       62.500
GET     696.319       65.000
GET     720.895       67.500
GET     749.567       70.000
GET     774.143       72.500
GET     798.719       75.000
GET     811.007       76.250
GET     823.295       77.500
GET     835.583       78.750
GET     847.871       80.000
GET     860.159       81.250
GET     872.447       82.500
GET     884.735       83.750
GET     897.023       85.000
GET     909.311       86.250
GET     921.599       87.500
GET     925.695       88.125
GET     933.887       88.750
GET     942.079       89.375
GET     946.175       90.000
GET     954.367       90.625
GET     958.463       91.250
GET     966.655       91.875
GET     970.751       92.500
GET     978.943       93.125
GET     987.135       93.750
GET     987.135       94.062
GET     991.231       94.375
GET     995.327       94.688
GET     999.423       95.000
GET     999.423       95.312
GET    1003.519       95.625
GET    1007.615       95.938
GET    1011.711       96.250
GET    1015.807       96.562
GET    1019.903       96.875
GET    1019.903       97.031
GET    1019.903       97.188
GET    1023.999       97.344
GET    1023.999       97.500
GET    1023.999       97.656
GET    1028.095       97.812
GET    1028.095       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1048.575       99.648
GET    1048.575      100.000
---
WAIT      0.000      100.000
